hypothesis_id,top_frac,amp,selected_rows,subject5_delta,dateblock5_delta,avg_delta,worst_delta,subject5_opposite_delta,dateblock5_opposite_delta,opposite_avg_delta,direction_support_mean,direction_support_rate,null_median,null_dominance,expected_beats_opposite,verdict,hidden_human_state,priority,route_key,active_targets,n_route_targets,gate_tags,gate_relaxed,train_gate_rows,test_gate_rows,score_source,matched_feature_count,matched_features,fallback_episodes,human_story,observable_log_pattern,expected_target_route,likely_row_condition,minimal_experiment,prediction_role,risk_of_being_spurious_leakage_public_overfit,is_testable,verdict_rank
H0568,0.35,0.015,71,-0.0001002311219746707,-9.142614865797868e-05,-9.58286353163247e-05,-9.142614865797868e-05,0.00010367756047129992,9.446154125897761e-05,9.906955086513877e-05,0.1051444993620474,1.0,9.454248114389626e-06,1.0,True,survives_both_splits,errand_fragmentation,low,S1_down|S4_up|Q1_down,"S1,S4,Q1",3,cashflow_calendar,False,203,144,observable_features+episode_fallback,4,"app_entropy_scattered_day,night_out_mobility,outdoor_nature_day,vehicle_noise_day","routine_fragmentation,cashflow_stress,cashflow_relief_spend",월급·월말·월초 리듬과 겹칠 때 짧은 이동이 여러 번 발생해 하루가 자잘한 일정으로 쪼개진다.,"fragmented mobility pockets, many gps transitions, short errands, app entropy high + payday/eom/monthstart proximity with behavioral corroboration",S1 down; S4 up; Q1 down; calendar gate only with behavior corroboration,near payday/eom/month-start or subject-specific cashflow anchor; calendar-only action avoided,OOF subject-date block split에서 condition row만 선택해 Q1/S1/S4 logit delta ±0.002/±0.005/±0.01를 route-only로 적용; sign flip과 no-move를 비교하고 target별 logloss를 본다; test behavior∩calendar interaction against calendar-only feature. 최종 채택은 E247 prior/smoothing 위에 sparse add로만 한다.,"calendar gate plus sparse route, never broad move",medium: active day vs fragmented day 혼동  High public overfit/calendar leakage risk.,True,0
H0704,0.25,0.015,113,-0.00010564820177201704,-8.506476906515514e-05,-9.535648541858609e-05,-8.506476906515514e-05,0.00011118719912852154,9.011326511245773e-05,0.00010065023212048964,0.07594338383971011,1.0,-1.9545328977050913e-05,1.0,True,survives_both_splits,weekend_obligation_commute,medium,S4_up|Q2_up|S1_down,"S4,Q2,S1",3,subject_residual,False,450,250,observable_features+episode_fallback,23,"commute_workday,finance_shopping_stress,night_out_mobility,outdoor_nature_day,pay10_post3_late_shopping,pay10_post3_spend_outing,pay10_post7_spend_outing,pay15_post3_late_shopping,pay15_post3_spend_outing,pay15_post7_spend_outing,pay20_post3_late_shopping,pay20_post3_spend_outing,pay20_post7_spend_outing,pay25_post3_late_shopping,pay25_post3_spend_outing,pay25_post7_spend_outing,payeom_post3_late_shopping,payeom_post3_spend_outing,payeom_post7_spend_outing,paymonth_start_post3_late_shopping,paymonth_start_post3_spend_outing,paymonth_start_post7_spend_outing,vehicle_noise_day","routine_fragmentation,commute_pressure",개인 baseline에서 벗어날 때만 평소 쉬는 주말에 갑자기 이동/외출이 있으면 회복 리듬이 깨진다.,"weekend commute anomaly, high gps speed/points, work/utility/shopping errands + subject-normalized z-score/residual trigger",S4 up; Q2 up; S1 down; use subject residual not global level,subject-specific residual: above/below that subject's rolling or median baseline,OOF subject-date block split에서 condition row만 선택해 Q2/S1/S4 logit delta ±0.002/±0.005/±0.01를 route-only로 적용; sign flip과 no-move를 비교하고 target별 logloss를 본다; compare global threshold vs per-subject residual threshold. 최종 채택은 E247 prior/smoothing 위에 sparse add로만 한다.,subject-specific gate plus sparse direct route,medium-high: valence hidden  10 subjects only; subject overfit risk.,True,0
H0709,0.25,0.015,113,-0.00010564820177201704,-8.506476906515514e-05,-9.535648541858609e-05,-8.506476906515514e-05,0.00011118719912852154,9.011326511245773e-05,0.00010065023212048964,0.07594338383971011,1.0,-1.0160127944163542e-05,1.0,True,survives_both_splits,weekend_obligation_commute,low,S4_up|Q2_up|S1_down,"S4,Q2,S1",3,block_stress_required,False,450,250,observable_features+episode_fallback,23,"commute_workday,finance_shopping_stress,night_out_mobility,outdoor_nature_day,pay10_post3_late_shopping,pay10_post3_spend_outing,pay10_post7_spend_outing,pay15_post3_late_shopping,pay15_post3_spend_outing,pay15_post7_spend_outing,pay20_post3_late_shopping,pay20_post3_spend_outing,pay20_post7_spend_outing,pay25_post3_late_shopping,pay25_post3_spend_outing,pay25_post7_spend_outing,payeom_post3_late_shopping,payeom_post3_spend_outing,payeom_post7_spend_outing,paymonth_start_post3_late_shopping,paymonth_start_post3_spend_outing,paymonth_start_post7_spend_outing,vehicle_noise_day","routine_fragmentation,commute_pressure",공개 subset에만 맞는 착시를 피하려면 평소 쉬는 주말에 갑자기 이동/외출이 있으면 회복 리듬이 깨진다.,"weekend commute anomaly, high gps speed/points, work/utility/shopping errands + date-block and row-order hardtail diagnostics",S4 up; Q2 up; S1 down; require block-stable calibration,date-block/public-private sensitivity check; route must survive block split and hardtail validation,OOF subject-date block split에서 condition row만 선택해 Q2/S1/S4 logit delta ±0.002/±0.005/±0.01를 route-only로 적용; sign flip과 no-move를 비교하고 target별 logloss를 본다; block-bootstrap public/private-like splits; require same sign. 최종 채택은 E247 prior/smoothing 위에 sparse add로만 한다.,calibration/gate only until block-stable,medium-high: valence hidden  Explicit public overfit risk; use as guardrail.,True,0
H0710,0.25,0.015,113,-0.00010564820177201704,-8.506476906515514e-05,-9.535648541858609e-05,-8.506476906515514e-05,0.00011118719912852154,9.011326511245773e-05,0.00010065023212048964,0.07594338383971011,1.0,-4.255533665757114e-05,1.0,True,survives_both_splits,weekend_obligation_commute,low,S4_up|Q2_up|S1_down,"S4,Q2,S1",3,subject_sign_flip,False,450,250,observable_features+episode_fallback,23,"commute_workday,finance_shopping_stress,night_out_mobility,outdoor_nature_day,pay10_post3_late_shopping,pay10_post3_spend_outing,pay10_post7_spend_outing,pay15_post3_late_shopping,pay15_post3_spend_outing,pay15_post7_spend_outing,pay20_post3_late_shopping,pay20_post3_spend_outing,pay20_post7_spend_outing,pay25_post3_late_shopping,pay25_post3_spend_outing,pay25_post7_spend_outing,payeom_post3_late_shopping,payeom_post3_spend_outing,payeom_post7_spend_outing,paymonth_start_post3_late_shopping,paymonth_start_post3_spend_outing,paymonth_start_post7_spend_outing,vehicle_noise_day","routine_fragmentation,commute_pressure",어떤 subject에게는 반대 의미일 수 있으므로 평소 쉬는 주말에 갑자기 이동/외출이 있으면 회복 리듬이 깨진다.,"weekend commute anomaly, high gps speed/points, work/utility/shopping errands + subject cluster interaction and sign-flip candidate",S4 up; Q2 up; S1 down; allow sign flip by subject cluster,subject-specific opposite direction possible; split by id cluster or personal response style,OOF subject-date block split에서 condition row만 선택해 Q2/S1/S4 logit delta ±0.002/±0.005/±0.01를 route-only로 적용; sign flip과 no-move를 비교하고 target별 logloss를 본다; compare global sign vs two-cluster sign-flip with strong regularization. 최종 채택은 E247 prior/smoothing 위에 sparse add로만 한다.,subject-specific sign/gate; no global direct move,medium-high: valence hidden  Very high small-N subject overfit risk.,True,0
H0562,0.35,0.015,110,-8.813625332002408e-05,-8.191898400786191e-05,-8.502761866394299e-05,-8.191898400786191e-05,9.346963162295366e-05,8.68902287063486e-05,9.017993016465113e-05,0.055971479500891264,1.0,-6.938420602189123e-06,1.0,True,survives_both_splits,errand_fragmentation,medium,S1_down|S4_up|Q1_down,"S1,S4,Q1",3,weekday,False,315,182,observable_features+episode_fallback,9,"app_entropy_scattered_day,commute_workday,night_out_mobility,outdoor_nature_day,quiet_dark_bedtime,ritual_anchor,vehicle_noise_day,weekday_routine_pressure,weekend_ritual_rest","routine_fragmentation,commute_pressure",평일 의무가 있는 맥락에서는 짧은 이동이 여러 번 발생해 하루가 자잘한 일정으로 쪼개진다.,"fragmented mobility pockets, many gps transitions, short errands, app entropy high + weekday_routine_pressure or commute/work expectation",S1 down; S4 up; Q1 down; weekday gate required,weekday; commute/work/study pressure present or expected; not a holiday-like row,OOF subject-date block split에서 condition row만 선택해 Q1/S1/S4 logit delta ±0.002/±0.005/±0.01를 route-only로 적용; sign flip과 no-move를 비교하고 target별 logloss를 본다; compare weekday-only residual against all-day route. 최종 채택은 E247 prior/smoothing 위에 sparse add로만 한다.,direct S1/S4 with activity-type gate,medium: active day vs fragmented day 혼동  Weekday may proxy subject/date block.,True,0
H0774,0.35,0.015,158,-0.00010497887776777139,-8.120247294997673e-05,-9.309067535887407e-05,-8.120247294997673e-05,0.00011270308294653852,8.825542097654314e-05,0.00010047925196154082,0.06375354025778852,1.0,-3.121593381927042e-05,1.0,True,survives_both_splits,errand_physical_drain,medium,Q1_down|S4_up|S1_down,"Q1,S4,S1",3,subject_residual,False,450,250,observable_features+episode_fallback,28,"afterwork_recovery,finance_shopping_stress,home_stability,media_binge_late,night_out_mobility,outdoor_nature_day,overtraining_arousal,pay10_post3_late_shopping,pay10_post3_spend_outing,pay10_post7_spend_outing,pay15_post3_late_shopping,pay15_post3_spend_outing,pay15_post7_spend_outing,pay20_post3_late_shopping,pay20_post3_spend_outing,pay20_post7_spend_outing,pay25_post3_late_shopping,pay25_post3_spend_outing,pay25_post7_spend_outing,payeom_post3_late_shopping,payeom_post3_spend_outing,payeom_post7_spend_outing,paymonth_start_post3_late_shopping,paymonth_start_post3_spend_outing","home_recovery,routine_anchor_recovery,routine_fragmentation,physiology_strain",개인 baseline에서 벗어날 때만 심부름과 이동으로 몸이 지친 날은 이동 route와 주관 불만이 결합된다.,"high errands mobility, shopping/home/utility, gps transitions, evening media collapse + subject-normalized z-score/residual trigger",Q1 down; S4 up; S1 down; use subject residual not global level,subject-specific residual: above/below that subject's rolling or median baseline,OOF subject-date block split에서 condition row만 선택해 Q1/S1/S4 logit delta ±0.002/±0.005/±0.01를 route-only로 적용; sign flip과 no-move를 비교하고 target별 logloss를 본다; compare global threshold vs per-subject residual threshold. 최종 채택은 E247 prior/smoothing 위에 sparse add로만 한다.,subject-specific gate plus sparse direct route,medium: errand valence hidden  10 subjects only; subject overfit risk.,True,0
H0779,0.35,0.015,158,-0.00010497887776777139,-8.120247294997673e-05,-9.309067535887407e-05,-8.120247294997673e-05,0.00011270308294653852,8.825542097654314e-05,0.00010047925196154082,0.06375354025778852,1.0,-1.2988133573336142e-05,1.0,True,survives_both_splits,errand_physical_drain,low,Q1_down|S4_up|S1_down,"Q1,S4,S1",3,block_stress_required,False,450,250,observable_features+episode_fallback,28,"afterwork_recovery,finance_shopping_stress,home_stability,media_binge_late,night_out_mobility,outdoor_nature_day,overtraining_arousal,pay10_post3_late_shopping,pay10_post3_spend_outing,pay10_post7_spend_outing,pay15_post3_late_shopping,pay15_post3_spend_outing,pay15_post7_spend_outing,pay20_post3_late_shopping,pay20_post3_spend_outing,pay20_post7_spend_outing,pay25_post3_late_shopping,pay25_post3_spend_outing,pay25_post7_spend_outing,payeom_post3_late_shopping,payeom_post3_spend_outing,payeom_post7_spend_outing,paymonth_start_post3_late_shopping,paymonth_start_post3_spend_outing","home_recovery,routine_anchor_recovery,routine_fragmentation,physiology_strain",공개 subset에만 맞는 착시를 피하려면 심부름과 이동으로 몸이 지친 날은 이동 route와 주관 불만이 결합된다.,"high errands mobility, shopping/home/utility, gps transitions, evening media collapse + date-block and row-order hardtail diagnostics",Q1 down; S4 up; S1 down; require block-stable calibration,date-block/public-private sensitivity check; route must survive block split and hardtail validation,OOF subject-date block split에서 condition row만 선택해 Q1/S1/S4 logit delta ±0.002/±0.005/±0.01를 route-only로 적용; sign flip과 no-move를 비교하고 target별 logloss를 본다; block-bootstrap public/private-like splits; require same sign. 최종 채택은 E247 prior/smoothing 위에 sparse add로만 한다.,calibration/gate only until block-stable,medium: errand valence hidden  Explicit public overfit risk; use as guardrail.,True,0
H0780,0.35,0.015,158,-0.00010497887776777139,-8.120247294997673e-05,-9.309067535887407e-05,-8.120247294997673e-05,0.00011270308294653852,8.825542097654314e-05,0.00010047925196154082,0.06375354025778852,1.0,-6.068230601427946e-06,1.0,True,survives_both_splits,errand_physical_drain,low,Q1_down|S4_up|S1_down,"Q1,S4,S1",3,subject_sign_flip,False,450,250,observable_features+episode_fallback,28,"afterwork_recovery,finance_shopping_stress,home_stability,media_binge_late,night_out_mobility,outdoor_nature_day,overtraining_arousal,pay10_post3_late_shopping,pay10_post3_spend_outing,pay10_post7_spend_outing,pay15_post3_late_shopping,pay15_post3_spend_outing,pay15_post7_spend_outing,pay20_post3_late_shopping,pay20_post3_spend_outing,pay20_post7_spend_outing,pay25_post3_late_shopping,pay25_post3_spend_outing,pay25_post7_spend_outing,payeom_post3_late_shopping,payeom_post3_spend_outing,payeom_post7_spend_outing,paymonth_start_post3_late_shopping,paymonth_start_post3_spend_outing","home_recovery,routine_anchor_recovery,routine_fragmentation,physiology_strain",어떤 subject에게는 반대 의미일 수 있으므로 심부름과 이동으로 몸이 지친 날은 이동 route와 주관 불만이 결합된다.,"high errands mobility, shopping/home/utility, gps transitions, evening media collapse + subject cluster interaction and sign-flip candidate",Q1 down; S4 up; S1 down; allow sign flip by subject cluster,subject-specific opposite direction possible; split by id cluster or personal response style,OOF subject-date block split에서 condition row만 선택해 Q1/S1/S4 logit delta ±0.002/±0.005/±0.01를 route-only로 적용; sign flip과 no-move를 비교하고 target별 logloss를 본다; compare global sign vs two-cluster sign-flip with strong regularization. 최종 채택은 E247 prior/smoothing 위에 sparse add로만 한다.,subject-specific sign/gate; no global direct move,medium: errand valence hidden  Very high small-N subject overfit risk.,True,0
H0094,0.25,0.015,113,-7.982630786472731e-05,-8.763841872444184e-05,-8.373236329458458e-05,-7.982630786472731e-05,8.556868561492272e-05,9.28252535455893e-05,8.919696958025601e-05,0.05482173962518492,0.6666666666666666,-1.3820541028139828e-06,1.0,True,survives_both_splits,forced_commute_after_badnight,high,Q3_up|S4_up|Q1_down,"Q3,S4,Q1",3,subject_residual,False,450,250,observable_features+episode_fallback,4,"commute_workday,deepnight_phone_awake,morning_after_badnight,vehicle_noise_day","badnight_aftereffect,bedtime_arousal,commute_pressure",개인 baseline에서 벗어날 때만 나쁜 밤에도 출근 압박 때문에 강제로 이동하면 피로와 이동 스트레스가 겹친다.,morning_after_badnight + commute/vehicle exposure high + work/study present + subject-normalized z-score/residual trigger,Q3 up; S4 up; Q1 down; use subject residual not global level,subject-specific residual: above/below that subject's rolling or median baseline,OOF subject-date block split에서 condition row만 선택해 Q1/Q3/S4 logit delta ±0.002/±0.005/±0.01를 route-only로 적용; sign flip과 no-move를 비교하고 target별 logloss를 본다; compare global threshold vs per-subject residual threshold. 최종 채택은 E247 prior/smoothing 위에 sparse add로만 한다.,subject-specific gate plus sparse direct route,medium: commute baseline leakage  10 subjects only; subject overfit risk.,True,0
H0099,0.25,0.015,113,-7.982630786472731e-05,-8.763841872444184e-05,-8.373236329458458e-05,-7.982630786472731e-05,8.556868561492272e-05,9.28252535455893e-05,8.919696958025601e-05,0.05482173962518492,0.6666666666666666,2.0836438816104025e-06,1.0,True,survives_both_splits,forced_commute_after_badnight,medium,Q3_up|S4_up|Q1_down,"Q3,S4,Q1",3,block_stress_required,False,450,250,observable_features+episode_fallback,4,"commute_workday,deepnight_phone_awake,morning_after_badnight,vehicle_noise_day","badnight_aftereffect,bedtime_arousal,commute_pressure",공개 subset에만 맞는 착시를 피하려면 나쁜 밤에도 출근 압박 때문에 강제로 이동하면 피로와 이동 스트레스가 겹친다.,morning_after_badnight + commute/vehicle exposure high + work/study present + date-block and row-order hardtail diagnostics,Q3 up; S4 up; Q1 down; require block-stable calibration,date-block/public-private sensitivity check; route must survive block split and hardtail validation,OOF subject-date block split에서 condition row만 선택해 Q1/Q3/S4 logit delta ±0.002/±0.005/±0.01를 route-only로 적용; sign flip과 no-move를 비교하고 target별 logloss를 본다; block-bootstrap public/private-like splits; require same sign. 최종 채택은 E247 prior/smoothing 위에 sparse add로만 한다.,calibration/gate only until block-stable,medium: commute baseline leakage  Explicit public overfit risk; use as guardrail.,True,0
