subject_id,sleep_date,lifelog_date,pred_Q1,pred_Q2,pred_Q3,pred_S1,pred_S2,pred_S3,pred_S4
id01,2024-06-27,2024-06-26,0.4758210877127591,0.6769206774030648,0.6332062194963435,0.6992824617157496,0.6931241953349304,0.8464742293319616,0.5342957746478874
id01,2024-06-28,2024-06-27,0.4745324052860645,0.6540441000086099,0.6252951120112819,0.6859874220953233,0.6808502318371188,0.8345902963436566,0.5342957746478874
id01,2024-06-29,2024-06-28,0.481258521709373,0.6234010257762133,0.6140463169065877,0.6654695213524492,0.6474922307581827,0.8351474714034209,0.5342957746478874
id01,2024-06-30,2024-06-29,0.4876627437675902,0.604222406681758,0.6091497825839759,0.7037796150122297,0.6481506557790792,0.8262051523831548,0.5342957746478874
id01,2024-07-01,2024-06-30,0.49457776255479735,0.6193115213921331,0.6141567180509471,0.7068609885181817,0.6561173934473308,0.8275777715032426,0.5342957746478874
id01,2024-07-02,2024-07-01,0.4891855541643533,0.6743730488594826,0.6344510054164961,0.7093413916830352,0.6736751083427952,0.8268875595005803,0.5342957746478874
id01,2024-07-03,2024-07-02,0.4866071236606324,0.6782776969475951,0.6352005029062839,0.6949912097138041,0.6779397393921441,0.8285354708458397,0.5342957746478874
id01,2024-07-04,2024-07-03,0.4906416538461642,0.6351000742129451,0.6204641204809376,0.6712351166433401,0.6443055939627812,0.8258069796426806,0.5342957746478874
id01,2024-07-05,2024-07-04,0.4967692123092948,0.6248912918594071,0.6158046176479522,0.6938661117581457,0.6547736664943843,0.8206495021774806,0.5342957746478874
id01,2024-07-06,2024-07-05,0.42225635491230695,0.5775630335065498,0.6113860032853047,0.6404338738580923,0.6174630862670729,0.8195439200389072,0.498705545714675
id01,2024-07-07,2024-07-06,0.4212125308718617,0.5942814802399026,0.6181327618851773,0.6389265819617539,0.6181740871791773,0.8234525240828142,0.498705545714675
id01,2024-07-08,2024-07-07,0.41988855834971667,0.6051787169860536,0.6199482381624093,0.6138580757831883,0.6256345444912735,0.8200167726087018,0.498705545714675
id01,2024-07-09,2024-07-08,0.4195535964652678,0.5968345859007633,0.6155533788565215,0.6063268167645687,0.622153019216789,0.8163013697069084,0.498705545714675
id01,2024-07-10,2024-07-09,0.4255473371084005,0.5695932184734211,0.605035288313218,0.6088069346830877,0.6017768628861445,0.8123342535406245,0.498705545714675
id01,2024-07-11,2024-07-10,0.4368097409992536,0.6073076960516295,0.6184616416489651,0.6217659424971044,0.5911233578921079,0.818177348298114,0.498705545714675
id01,2024-07-13,2024-07-12,0.43588134830072733,0.6151835364241193,0.6235397891723289,0.6246867196518935,0.5936441969228915,0.8191701450263444,0.498705545714675
id01,2024-07-14,2024-07-13,0.4346495554847333,0.619389922785087,0.6244712105478286,0.6100757958695797,0.5954282677950725,0.8150653304201346,0.498705545714675
id01,2024-07-15,2024-07-14,0.47915253391560836,0.5505023758651725,0.6323313219869452,0.6984775113540975,0.6322225459645449,0.8193142671106648,0.5005774848834839
id01,2024-07-16,2024-07-15,0.4791824465405451,0.516316947886501,0.6226254441763287,0.7043411310490788,0.6045451251038136,0.8239971069305476,0.5005774848834839
id01,2024-07-17,2024-07-16,0.4825532986939495,0.5173837444589987,0.6242200902043035,0.7200777069074934,0.6219290140745514,0.8188964981060747,0.5005774848834839
